Experimental molecular inhibitory activities against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
1,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C)CCc1ccccc1,5388962,1
2,SC[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,44093,1
3,OC(=O)[C@H]1N(CCC1)C(=O)CNC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1,130842,1
4,OC(=O)[C@H]1N(CCC1)C(=O)CNCC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1,44328238,1
5,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,44364646,1
6,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N1CCC[C@H]1C(O)=O,10458734,1
7,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@@H](C(C)C)C(O)=O,44376661,1
8,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c2c(ccc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376705,1
9,S[C@@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N1CCC[C@H]1C(O)=O)c1cc2OCOc2cc1,44376922,1
10,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44377126,1
11,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@H](C(O)=O)CO,44376665,1
12,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cc2c(cc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376704,1
13,S[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c2c(ccc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376860,1
14,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N1CCC[C@H]1C(O)=O,44376644,1
15,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N1CCC[C@H]1C(O)=O)c1cc2OCOc2cc1,44376688,1
16,S[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cc2c(cc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376881,1
17,S[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N1CCC[C@H]1C(O)=O,44376945,1
18,S[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44377139,1
19,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,10071569,1
20,OC(=O)[C@@H](NC(=O)[C@@H](N[C@H](C(O)=O)C)C(C)C)Cc1ccc(cc1)-c1ccccc1,44324830,1
21,OC(=O)[C@@H](NC(=O)C(N[C@H](C(O)=O)C)[C@H](CC)C)Cc1ccc(cc1)-c1ccccc1,44324831,1
22,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](CCc1ccccc1)C(O)=O,44325055,1
23,P(O)(O)(=O)CN[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325082,1
24,P(O)(O)(=O)CN[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325092,1
25,P(O)(O)(=O)CN[C@@H](CCCC)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325093,1
26,P(O)(O)(=O)CN[C@@H]([C@@H](O)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325095,1
27,OC(=O)CNC([C@H](CC)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325102,1
28,P(O)(O)(=O)CN[C@@H](Cc1ccccc1OC)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325232,1
29,P(O)(O)(=O)CN[C@@H]([C@@H](OCc1ccccc1)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44386919,1
30,P(O)(O)(=O)CN[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C,44325039,1
31,P(O)(O)(=O)CN[C@@H](Cc1cc2OCOc2cc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325081,1
32,Clc1ccc(cc1)C[C@H](NCP(O)(O)=O)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325169,1
33,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(OC(C)C)cc1)C(O)=O,10432045,1
34,P(O)(O)(=O)[C@@H](N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C,44325207,1
35,P(O)(O)(=O)CN[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44324877,1
36,s1cccc1C[C@H](NCP(O)(O)=O)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44324645,1
37,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(O)=O,44325086,1
38,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)C1CCCCC1)C(O)=O,44325087,1
39,P(O)(O)(=O)CN[C@@H](Cc1cc2c(cc1)cccc2)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325166,1
40,P(O)(O)(=O)CN[C@@H]([C@H](C)c1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325222,1
41,P(O)(O)(=O)CN[C@@H](Cc1ccccc1C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325247,1
42,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,9822830,1
43,SCC(Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@H]1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,71449083,1
44,S[C@@H](Cc1ccccc1)C(=O)N[C@@H]1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,71456155,1
45,S[C@H](C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O)C,44329454,1
46,S[C@@H]([C@@H](CC)C)C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,22874530,1
47,S[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,22874524,1
48,S[C@@H](C(C)C)C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,22874526,1
49,S[C@H](C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O)C1CCCCC1,22874522,1
50,SC1(CCCC1)C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,22874513,1
51,S[C@H](Cc1ccccc1)C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,22874515,1
52,SCC1CCCN(CC(O)=O)C1=O,133560,1
53,S(CC1CCCN(C(C(O)=O)C)C1=O)C(=O)C,12698990,1
54,S(CC1CCCN(C(C(O)=O)c2ccccc2)C1=O)C(=O)C,12698992,1
55,SCC1CCN(CC(O)=O)C1=O,12698984,1
56,S(CC1CCCN(C(CCC)C(O)=O)C1=O)C(=O)C,12698991,1
57,S(CC1CCN(CC(O)=O)C1=O)C(=O)C,12698983,1
58,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1,156271,1
59,OC(=O)[C@@H]1N(CCC1)C(=O)CCCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44387004,1
60,S(=O)(=O)(N(CC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)CC(=O)N1CCC[C@@H]1C(O)=O)c1ccc(cc1)C,44387064,1
61,OC(=O)[C@@H]1N(CCC1)C(=O)CNCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44386400,1
62,S(CC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)CC(=O)N1CCC[C@@H]1C(O)=O,44386845,1
63,O(CC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)CC(=O)N1CCC[C@@H]1C(O)=O,44386764,1
64,OC(=O)C1N(CCC1)C(=O)CCC(=O)[C@@H](NC(=O)CCCCC)Cc1ccccc1,44459887,1
65,OC(=O)[C@H]1N(CCC1)C(=O)[C@H](CC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C,44328851,1
66,O(CCCC)C(=O)NC(Cc1ccccc1)C(=O)CC(C(=O)N1CCCC1C(O)=O)C,12854269,1
67,OC(=O)[C@H]1N(CCC1)C(=O)[C@H](CC(=O)[C@H](NC(=O)c1ccccc1)Cc1ccccc1)C,44328852,1
68,OC(=O)C1N(CCC1)C(=O)CCC(=O)[C@@H](NC(=O)CCCCCCCCC)Cc1ccccc1,44459635,1
69,OC(=O)C1N(CCC1)C(=O)CCC(=O)[C@@H](NC(=O)CCCCCCC)Cc1ccccc1,44459899,1
70,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](CC(=O)[C@H](NC(=O)c1ccccc1)Cc1ccccc1)C,44316753,1
71,O(CCCC)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(O)=O,12854268,1
72,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C,134166,1
73,O(Cc1ccccc1)C(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1cccnc1,44384730,1
74,O1CCCC1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44385628,1
75,OC(=O)[C@H]1N(CCC1)C(=O)CC/C(=N\O)/C(NC(=O)c1ccccc1)Cc1ccccc1,44385857,1
76,O(C)c1cc(ccc1OC)CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44384897,1
77,OC(=O)[C@H](NC(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)Cc1ccccc1,44385438,1
78,o1cccc1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44385469,1
79,O(Cc1ccccc1)c1ccc(cc1)CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(OC(C)(C)C)=O,44385749,1
80,Oc1ccc(cc1)CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44386287,1
81,Cl.OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(N)Cc1ccccc1,45263109,1
82,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1C)Cc1ccccc1,44384569,1
83,O(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44384992,1
84,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1cccnc1,44384993,1
85,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)C)Cc1ccccc1,44385470,1
86,O(Cc1ccccc1)c1ccc(cc1)CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(OCc1ccccc1)=O,12854279,1
87,O(Cc1ccccc1)C(=O)C(NC(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)Cc1ccccc1,44385527,1
88,O(C(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)C,44386281,1
89,O(Cc1ccccc1)c1ccc(cc1)CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44384727,1
90,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)C,44384776,1
91,OC(=O)[C@H]1N(CCC1)C(=O)CCCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44384800,1
92,OC1C[C@H](N(C1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O,44384859,1
93,O(Cc1ccccc1)C(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1C)Cc1ccccc1,44385582,1
94,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)N)c1ccccc1,44386286,1
95,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C,5462501,1
96,S[C@@H]([C@@H](CC)C)C(=O)NCC(O)=O,44446953,1
97,S[C@@H]([C@@H](CC)C)C(=O)N[C@H](C(O)=O)C,44446954,1
98,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1cc(Oc2ccccc2)ccc1)C(O)=O,44446968,1
99,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(Oc2ccccc2)cc1)C(O)=O,44446969,1
100,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccccc1OCc1ccccc1)C(O)=O,44446970,1
101,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2cc(F)c(F)cc2)cc1)C(O)=O,44446979,1
102,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2ccc(cc2)C(F)(F)F)cc1)C(O)=O,44446980,1
103,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44446952,1
104,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,44446956,1
105,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1cc(ccc1)-c1ccccc1)C(O)=O,44446965,1
106,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccccc1Oc1ccccc1)C(O)=O,44446967,1
107,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1cc(OCc2ccccc2)ccc1)C(O)=O,44446972,1
108,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)cc2)cc1)C(O)=O,44446975,1
109,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1cc2c(cc1)cccc2)C(O)=O,44446960,1
110,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccccc1-c1ccccc1)C(O)=O,44446963,1
111,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(O)=O,44446974,1
112,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,44446957,1
113,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1c2c(ccc1)cccc2)C(O)=O,44446959,1
114,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)cc2F)cc1)C(O)=O,44446976,1
115,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2cc(cc(c2)C(F)(F)F)C(F)(F)F)cc1)C(O)=O,44446984,1
116,S1SC[C@H](NC(=O)[C@@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)CN)CCC(O)=O)CC(O)=O)Cc2ccc(O)cc2)[C@H](O)C)C1)CCCCN)Cc1c2c([nH]c1)cccc2)Cc1c2c([nH]c1)cccc2)Cc1ccc(O)cc1)Cc1ccc(O)cc1)CCCNC(N)=N)CC(C)C)CO)C(=O)N[C@@H](Cc1nc[nH]c1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)C)CO,44447656,1
117,Clc1cc(cc(Cl)c1)Cn1cncc1C[C@H](N[C@@H](CC(C)C)C(O)=O)C(O)=O,448281,1
118,SCC(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455047,1
119,S[C@@H](CCc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455406,1
120,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C1CCCCC1,44454957,1
121,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C1CCC1,44454959,1
122,S[C@@H](CCCC)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455013,1
123,SC(C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)(C)C,44455015,1
124,S[C@@H]([C@H](CC)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44454987,1
125,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,25033280,1
126,S[C@@H](Cc1cc2c(cc1)cccc2)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455407,1
127,S[C@@H](CC(C)(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,25033281,1
128,S[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455428,1
129,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)c1ccccc1,44455429,1
130,S[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455430,1
131,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C1CCCC1,44454960,1
132,S[C@@H](CC)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455016,1
133,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C,44455018,1
134,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1[nH]cnc1,24827781,1
135,P(O)(=O)(C[C@H](C(O)=O)C)[C@@H]1N(CCC1)C(OCc1ccccc1)=O,24828310,1
136,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)C(C)C,24827661,1
137,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1ccc(O)cc1,24827547,1
138,P(O)(=O)([C@H](NC(OCc1ccccc1)=O)CC(C)C)C[C@@H](Cc1ccccc1)C(O)=O,24828445,1
139,P(O)(=O)(C[C@@H](CC(C)C)C(O)=O)[C@@H]1N(CCC1)C(OCc1ccccc1)=O,24828309,1
140,P(O)(=O)([C@H](NC(=O)[C@@H](NC(=O)C)Cc1[nH]cnc1)CC(C)C)C[C@@H](Cc1ccccc1)C(O)=O,24827913,1
141,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)CCCCN,24827437,1
142,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)CC(C)C,24827312,1
143,P(O)(=O)([C@H](NC(=O)[C@@H](NC(=O)C)Cc1[nH]cnc1)CC(C)C)CC(Cc1onc(c1)-c1ccccc1)C(O)=O,44450296,1
144,P(O)(=O)(CC(Cc1onc(c1)-c1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1[nH]cnc1,44450311,1
145,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)C,24827309,1
146,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(OCc1ccccc1)=O,24828308,1
147,P(O)(=O)(CC(Cc1onc(c1)-c1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)CC(C)C,44450312,1
148,P(O)(=O)([C@H](NC(=O)[C@@H](NC(=O)C)CC(C)C)Cc1ccccc1)C[C@@H](Cc1ccccc1)C(O)=O,24827784,1
149,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1ccccc1,24827658,1
150,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)CCC(O)=O,24827440,1
151,SC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CN)CC(O)=O)Cc1ccc(O)cc1)CO)Cc1[nH]cnc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C(=O)N1CCC[C@H]1C(O)=O)CS)CO,52946818,1
152,SC[C@@H](Cc1ccccc1)C(=O)NCC(O)=O,4369380,1
153,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C,9840601,1
