Experimental molecular inhibitory activities against angiotensin converting enzymes (ACE),,,
154,O=C1N[C@@H](CC1)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H]([C@H](CC)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(O)=O,443376,1
155,O=C1N[C@@H](CC1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,5748613,1
156,OC(=O)[C@H]1N(CCC1)C(=O)CNC(=O)[C@@H](N)Cc1ccccc1,11989733,1
157,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1c1nn[nH]n1)c1ccccc1,44266856,1
158,FC(F)(F)C(O)=O.OC(=O)C1N(CCC1)C(=O)CCC(=O)C(NC(=O)C(NC(=O)C1CCC1)CCCCN)Cc1ccccc1,44266590,1
159,FC(F)(F)C(O)=O.O=C(NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)NO)C1CCC1,44266842,1
160,O=C(NO)C1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44266803,1
161,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,12854254,1
162,FC(F)(F)C(O)=O.OC(=O)C1N(CCC1)C(=O)C(CC(=O)C(NC(=O)C(NC(=O)C1CCC1)CCCCN)Cc1ccccc1)C,44266572,1
163,OC(=O)[C@@H](NC(=O)[C@@H](N)C(C)C)Cc1c2c([nH]c1)cccc2,168182,1
164,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)CC)[C@@H](CN1Cc1ccccc1)C(O)=O,13456394,1
165,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(OCC)=O)C)[C@@H](CN1C)C(O)=O,5464343,1
166,O=C1N(C(=O)[C@@H](N)C)[C@@H](CN1C)C(O)=O,44331737,1
167,O=C1N(C(=O)[C@@H](N)C)[C@@H](CN1Cc1ccccc1)C(O)=O,44331738,1
168,O=C1NC[C@H](N1C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O,44331702,1
169,O=C1N(C(=O)[C@@H](N[C@@H](CC(C)C)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456380,1
170,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1C)C(O)=O,5464344,1
171,O=C1N(C(=O)[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456346,1
172,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456375,1
173,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(OCC)=O)C)[C@@H](CN1C)C(O)=O,13456353,1
174,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(OCC)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456371,1
175,O=C1N(C(=O)[C@@H](N[C@@H](CCC(C)C)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456384,1
176,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1CCCC)C(O)=O,13456423,1
177,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(OCC)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13477728,1
178,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)CC)[C@@H](CN1Cc1ccccc1)C(O)=O,13456404,1
179,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456344,1
180,O=C1N(C(=O)[C@@H](N[C@@H](Cc2ccccc2)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456389,1
181,O=C1N(C(=O)[C@H](N[C@@H](CCCCCCCC)C(O)=O)C)[C@@H](CN1C)C(O)=O,13456368,1
182,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)C)[C@@H](CN1C)C(O)=O,13456366,1
183,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)CC)[C@@H](CN1C)C(O)=O,13456399,1
184,S(Cc1cc(C)c(cc1)C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)CS)C(O)=O,10093438,1
185,S(Cc1ccc(cc1)C)C[C@@H](NC(=O)[C@@H](Cc1cc2c(cc1)cccc2)CS)C(O)=O,44461318,1
186,S(Cc1ccc(OC)cc1)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)CS)C(O)=O,44461233,1
187,S1C[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N(c2c1cccc2)CC(O)=O,15380813,1
188,O=C1N(Cc2c(CC1N[C@H](CCc1ccccc1)C(O)=O)cccc2)CC(O)=O,44336332,1
189,SC[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,10047309,1
190,SC[C@@H](Cc1ccccc1)C(=O)N[C@H]1COc2c(N(CC(O)=O)C1=O)cccc2,15380820,1
191,S1C[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N(c2c1cccc2)CCC(O)=O,44295879,1
192,SC[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CCC(O)=O)C1=O)cccc2,44295891,1
193,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CCC(O)=O)C1=O)cccc2,44295892,1
194,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H](Oc2c(N(CC(O)=O)C1=O)cccc2)C,44296036,1
195,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1COc2c(N(CCC(O)=O)C1=O)cccc2,44296037,1
196,SC[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,14390729,1
197,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,9801007,1
198,S1C[C@H](NC(=O)[C@H](Cc2ccccc2)CS)C(=O)N(c2c1cccc2)CC(O)=O,15380810,1
199,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1COc2c(N(CC(O)=O)C1=O)cccc2,15380821,1
200,S[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,9998020,1
201,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@@H](Oc2c(N(CC(O)=O)C1=O)cccc2)C,44295893,1
202,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H](Oc2c(N(CCC(O)=O)C1=O)cccc2)C,44296019,1
203,SCC(NC(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O)Cc1ccccc1,44323100,1
204,SCC(Cc1ccccc1)C(=O)N[C@@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O,44323101,1
205,SCC(Cc1ccccc1)C(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O,44323117,1
206,SCC(Cc1ccccc1)C(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O,9822849,1
207,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCNN(CC(O)=O)C1=O,44305140,1
208,SCC(NC(O[C@@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O)=O)Cc1ccccc1,44323123,1
209,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N2N([C@@H](CC2)C(O)=O)C1=O,44305173,1
210,SCC(NC(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O)Cc1ccccc1,44323191,1
211,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N2N([C@@H](CCC2)C(O)=O)C1=O,44305193,1
212,SCC(Cc1ccccc1)C(=O)N[C@@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O,44323192,1
213,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN(N(CC(O)=O)C1=O)CCC,44305131,1
214,SCC(Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O,44323289,1
215,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N(N(CC(O)=O)C1=O)CCC,44305132,1
216,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N(N(CC(O)=O)C1=O)C,44305391,1
217,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN(N(CC(O)=O)C1=O)C,44305121,1
218,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN2N([C@@H](CCC2)C(O)=O)C1=O,44305370,1
219,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN2N([C@@H](CC2)C(O)=O)C1=O,44305372,1
220,SCC(Cc1ccccc1)C(=O)NCC(O)=O,3132,1
221,P(O)(=O)(NC(C(=O)N1CCCC1C(O)=O)C)CCc1ccccc1,14212863,1
222,SCN1C(=O)N2N(CC=CC2C(O)=O)C1=O,13144519,1
223,OC(=O)C1N(CCC1)C(=O)C(NC(CCc1c2c(ccc1)cccc2)C(O)=O)C,44337754,1
224,P(OC(C(=O)N1CCCC1C(O)=O)C)(O)(=O)C(NC(=O)c1ccccc1)CCc1ccccc1,13335293,1
225,OC(=O)C1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,335542,1
226,O=C1N(c2c(CCC1NC(CCc1ccccc1)C(O)=O)cccc2)CC(O)=O,10475845,1
227,P(O)(O)(=O)NC(C(=O)C1CCCC1C(O)=O)C,44337491,1
228,S1CC(N2C1CCCC(NC(CCc1ccccc1)C(O)=O)C2=O)C(O)=O,13241661,1
229,S1CCSC12C[C@H](N(C2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O,3033702,1
230,OC(=O)C1N(CCC1)C(=O)C(NC(CCc1ccccc1)C(O)=O)CCCCN,3937,1
231,S1CCSC12C[C@H](N(C2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(OCC)=O)CCCCN)C(O)=O,14540994,1
232,S1CCSC12C[C@H](N(C2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN)C(O)=O,14540996,1
233,OC(=O)C1N(CCC1)C(=O)C(NC(CCC(C)C)C(O)=O)C,20445899,1
234,S(C(=O)c1ccccc1)C1CCCC1C(=O)N1CCCC1C(O)=O,20430909,1
235,SCC(C(=O)N1c2c(CC1C(O)=O)cccc2)C,494324,1
236,SC[C@@H](C(=O)N1c2c(C[C@H]1C(O)=O)cccc2)C,22818650,1
237,S1C[C@H](NC(CCc2ccccc2)C(O)=O)C(=O)N(c2c1cccc2)CC(O)=O,13375125,1
238,S\C=C/C(=O)C1C[C@@H](CC1)C(O)=O,44352086,1
239,O=C1N2N(CC=CC2C(O)=O)C(=O)N1CC(O)=O,20557515,1
240,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@](CCc1ccccc1)(C(O)=O)C)C,71718514,1
241,Ic1ccc(NC(=O)CCC(NC(C(=O)N2CCCC2C(O)=O)C)C(O)=O)cc1,44337769,1
242,S1CC(N(C(=O)CCS)C1c1ccccc1O)C(O)=O,122113,1
243,SCCC(=O)N1CCC[C@@H]1C(O)=O,44317006,1
244,SC1CCCC1C(=O)N1CCCC1C(O)=O,20430913,1
245,SCC(C(=O)N1C(CCC1=O)C(O)=O)C,23330158,1
246,SC[C@H](C(=O)N1[C@@H](CCC1=O)C(O)=O)C,44317203,1
247,P(OC1OC(C)C(O)C(O)C1O)(O)(=O)NC(CC(C)C)C(=O)NC(Cc1c2c([nH]c1)cccc2)C(O)=O,4802,1
248,S1C[C@H](N2C1CCC[C@H](NC(CCc1ccccc1)C(O)=O)C2=O)C(O)=O,44352073,1
249,OC=1C=C(CCC(O)=O)C(=O)N2C=1CCC2C(O)=O,137365,1
250,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C,114973,1
251,S1CCSC12CC(N(C2)C(=O)CP(O)(=O)CCCCc1ccccc1)C(O)=O,13136851,1
252,O=C1N(CC(O)=O)C(CCCC1NC(CCc1ccccc1)C(O)=O)C,13749504,1
253,SC1CCCCC1C(=O)NC(C(=O)N1CCCC1C(O)=O)C,13652520,1
254,SC1CCC1C(=O)N1CCCC1C(O)=O,20430901,1
255,SCC1(C)C(=O)N2N(CCCC2C(O)=O)C1=O,13144530,1
256,SCC1CC(=O)N2N(C1=O)C(CCC2)C(O)=O,13144539,1
257,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](C[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O)C,54560245,1
258,O=C1N[C@@H](CC1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,10393285,1
259,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)NC(Cc1ccccc1)C(O)=O)C,44358282,1
260,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CNC(=O)c1ccccc1)C(O)=O)C,54082602,1
261,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@H](C(O)=O)[C@H]1NCCC1)C,54395218,1
262,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)=O)C,44358246,1
263,O=C1N(C(=O)C(NC(=O)N2CCCC2C(NC(C(=O)N2CCCC2C(O)=O)C)C(O)=O)CCCCN)C(CC1)C(O)=O,44358261,1
264,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)C)C,44358439,1
265,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@H]([C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O)C,71449056,1
266,SC(Cc1ccccc1)(C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C,44295920,1
267,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)c1ccccc1)C,44358418,1
268,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1Cc2c(CN(CC(O)=O)C1=O)cccc2,15838528,1
269,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)NCC(O)=O)C,44358438,1
270,S[C@@H](Cc1ccccc1)C(=O)N[C@@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,15380816,1
271,S[C@@H](CC1CCCCC1)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,44295979,1
272,S[C@@H](CCCC)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,44295958,1
273,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(CNC(=O)c1ccccc1)C(O)=O)C,71449055,1
274,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@H](C[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O)C,71454428,1
275,S[C@@H](Cc1ccccc1)C(=O)NC1CCCc2c(N(CC(O)=O)C1=O)cccc2,15838530,1
276,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCCN(CC(O)=O)C1=O,11792153,1
277,S[C@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,15380817,1
278,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H]([C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O)C,54039314,1
279,O=C1N(CCCCCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,23322524,1
280,O=C1N(CCCCCCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,13608331,1
281,S[C@@H](CC(C)C)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,44295939,1
282,S[C@H](C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C,44295941,1
283,O=C1N(CCCCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,13749498,1
284,S[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N(CC(O)=O)c1ccccc1)C,44295966,1
285,O=C1N(CCCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,44321532,1
286,O=C1N(CCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,44321145,1
287,O=C1N(CCCCC[C@@H]1N[C@@H](CCc1ccccc1)C(O)=O)CC(O)=O,54311655,1
288,O=C1N(CCCCC[C@H]1N[C@H](CCc1ccccc1)C(O)=O)CC(O)=O,118718824,1
289,OC(=O)[C@H]1N(Cc2c(C1)cccc2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C,107994,1
290,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N)C,83525,1
291,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1Cc2c(C[C@H]1C(O)=O)cccc2)C)CCc1ccccc1,54892,1
292,O=C1N(c2c(CC[C@@H]1N[C@@H](CC(C)C)C(O)=O)cccc2)CC(O)=O,13500790,1
293,O=C1N(c2c(CC[C@@H]1N[C@@H](Cc1c3c([nH]c1)cccc3)C(O)=O)cccc2)CC(O)=O,44288065,1
294,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCNC(OC(C)(C)C)=O)C(O)=O)cccc2)CC(O)=O,13500754,1
295,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCC)C(O)=O)cccc2)CC(O)=O,13500795,1
296,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCC)C(OCC)=O)cccc2)CC(O)=O,13500798,1
297,O=C1N(c2c(CC[C@@H]1N[C@@H](Cc1c3c([nH]c1)cccc3)C(OCC)=O)cccc2)CC(O)=O,13500788,1
298,O=C1N(c2c(CC[C@@H]1N[C@@H](Cc1ccccc1)C(O)=O)cccc2)CC(O)=O,13500778,1
299,O=C1N(c2c(CC[C@@H]1N[C@@H](CCC)C(O)=O)cccc2)CC(O)=O,13500805,1
300,S(CC[C@H](N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C(O)=O)C,13500800,1
301,S(Cc1ccccc1)C[C@H](N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C(O)=O,13500765,1
302,S(C[C@H](N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C(O)=O)c1ccccc1,13500773,1
303,S(CCc1ccccc1)C[C@H](N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C(O)=O,13500770,1
304,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCNC(OCc1ccccc1)=O)C(O)=O)cccc2)CC(O)=O,13339952,1
305,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCNC(OCc1ccccc1)=O)C(OCC)=O)cccc2)CC(O)=O,13500752,1
306,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCN)C(O)=O)cccc2)CC(O)=O,71320,1
307,O=C1N(c2c(CC[C@@H]1N[C@@H](CC(C)C)C(OC)=O)cccc2)CC(O)=O,13500793,1
308,O=C1N(c2c(CC[C@@H]1N[C@H](C(O)=O)COCc1ccccc1)cccc2)CC(O)=O,18601751,1
309,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCN)C(OCC)=O)cccc2)CC(O)=O,13500748,1
310,SC[C@@H]1Cc2c(CCCCC[C@H](NC1=O)C(O)=O)cccc2,10496022,1
311,SC[C@H]1CCCCCc2c(C[C@@H](NC1=O)C(O)=O)cccc2,44364906,1
312,SC[C@H](C(=O)N1Cc2[nH]c3c(c2CC1C(O)=O)cccc3)C,44365196,1
313,SC[C@H]1Cc2c(CCCCC[C@H](NC1=O)C(O)=O)cccc2,10829618,1
314,SC[C@H]1CCCCCCc2c(C[C@@H](NC1=O)C(O)=O)cccc2,44364917,1
315,SC[C@@H]1Cc2cc(CCCCC[C@H](NC1=O)C(O)=O)ccc2,10710922,1
316,P(O)(=O)(N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C)CCc1ccccc1,14212864,1
317,SC[C@H]1CCCCCCc2c(C[C@H](NC1=O)C(O)=O)cccc2,10664538,1
318,P(O)(O)(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,5490790,1
319,SC[C@H]1Cc2cc(CCCCCC[C@H](NC1=O)C(O)=O)ccc2,9840687,1
320,SC[C@H]1Cc2cc(CCCCC[C@H](NC1=O)C(O)=O)ccc2,10041763,1
321,SC[C@@H]1Cc2cc(CCCCCC[C@H](NC1=O)C(O)=O)ccc2,10759255,1
322,Oc1ccc(cc1)C[C@H](NC(=O)[C@@H](N)[C@H](CC)C)C(O)=O,7408195,1
323,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)CCCC)C,44352399,1
324,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)CC(C)C)C,7408255,1
325,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)CCCN=C(N)N)C,44352485,1
326,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C,44352389,1
327,SCN[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,44379187,1
328,OC(=O)[C@H]1N(CCC1)C(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)Cc1c2c([nH]c1)cccc2)CCCN=C(N)N)CCC(=O)N)[C@H](CC)C,44346192,1
