Experimental pIC-50 values of inhibitor molecules against angiotensin converting enzymes (ACE),,,
156,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN2N([C@@H](CC2)C(O)=O)C1=O,44305372,0.012
157,S[C@@H](Cc1ccccc1)C(=O)NC1CCCC(N(CC(O)=O)C1=O)(C)C,44342309,0.012
158,P(O)(=O)(CC(=O)N1CCC[C@H]1C(O)=O)C[C@@H](NC(=O)c1ccccc1)CCc1ccccc1,71462052,0.012
159,OC(=O)[C@H]1N([C@@H]2[C@H](C1)CCCC2)C(=O)CC[C@@H](NC(=O)C(N)CCCCN)C(O)=O,44317098,0.01202
160,O(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)N[C@H](CCC(=O)N1CCC[C@H]1C(O)=O)C(O)=O,44316849,0.01202
161,SCC(C(=O)N1c2c(CC1C(O)=O)cccc2)C,494324,0.01259
162,S1CCSC12CC(N(C2)C(=O)CP(O)(=O)CCCCc1ccccc1)C(O)=O,13136851,0.01259
163,S1C[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N(c2c1cccc2)CC(O)=O,15380813,0.013
164,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H](Oc2c(N(CC(O)=O)C1=O)cccc2)C,44296036,0.013
165,O=C1N(c2c(CC[C@@H]1N[C@@H](Cc1c3c([nH]c1)cccc3)C(O)=O)cccc2)CC(O)=O,44288065,0.013
166,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCNC(OCc1ccccc1)=O)C(O)=O)cccc2)CC(O)=O,13339952,0.013
167,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c2c(ccc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376705,0.014
168,S1C[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N(c2c1cccc2)CCC(O)=O,44295879,0.014
169,S[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N(CC(O)=O)c1ccccc1)C,44295966,0.014
170,O(C(CCc1ccccc1)C(OCC)=O)C(C(=O)N1Cc2c(CC1C(O)=O)cccc2)C,44459680,0.014
171,O(Cc1ccccc1)C(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1cccnc1,44384730,0.015
172,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCNC(OCc1ccccc1)=O)C(OCC)=O)cccc2)CC(O)=O,13500752,0.015
173,S(CCCc1ccc(cc1)C(C)C)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586819,0.015
174,Clc1ccccc1N1c2c(cccc2)\C(=N\C(=S)NCc2cc3c(cc2O)cccc3)\C1=O,145958042,0.01511
175,O(Cc1ccccc1)C(=O)N1CCCC1C(=O)N[C@H](CCC(=O)N1[C@@H]2[C@H](C[C@H]1C(O)=O)CCCC2)C(O)=O,44317022,0.01514
176,P(O[C@@H](CCCCN)C(=O)N1C[C@@H](O)C[C@H]1C(O)=O)(O)(=O)CCCCc1ccccc1,14630771,0.01585
177,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N(N(CC(O)=O)C1=O)C,44305391,0.016000001
178,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN(N(CC(O)=O)C1=O)C,44305121,0.016000001
179,S1C[C@H](NC(=O)[C@H](Cc2ccccc2)CS)C(=O)N(c2c1cccc2)CC(O)=O,15380810,0.017000001
180,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CNC(=O)c1ccccc1)C(O)=O)C,54082602,0.017000001
181,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cc2c(cc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376704,0.017999999
182,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H](Oc2c(N(CCC(O)=O)C1=O)cccc2)C,44296019,0.017999999
183,SCC(Cc1ccccc1)C(=O)N[C@@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O,44323192,0.017999999
184,SCC(C(=O)N1Cc2c(CC1C(O)=O)cccc2)C,12942866,0.017999999
185,S=C(\N=C/1\c2c(N(C\1=O)c1ccccc1)cccc2)NCc1cc2c(cc1O)cccc2,145953611,0.01897
186,O=C1N(CCCCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,13749498,0.018999999
187,Clc1nc(n(Cc2ccc(cc2)-c2ccccc2-c2nn[nH]n2)c1CO)CCCC,3961,0.018999999
188,S(CCc1ccc(cc1)C(C)C)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586818,0.018999999
189,S1CC(N(C(=O)CCS)C1c1ccccc1O)C(O)=O,122113,0.019950001
190,SC[C@H](C(=O)N1Cc2c(C[C@H]1C(O)=O)cccc2)C,12942868,0.019950001
191,O1CCCC1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44385628,0.02
192,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N2N([C@@H](CC2)C(O)=O)C1=O,44305173,0.02
193,S(Cc1ccc(cc1)CC)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581584,0.021
194,OC(=O)[C@@H](NC(=O)C(N[C@H](C(O)=O)C)[C@H](CC)C)Cc1ccc(cc1)-c1ccccc1,44324831,0.022
195,S[C@@H](CC1CCCCC1)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,44295979,0.022
196,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCCN(CC(O)=O)C1=O,11792153,0.022
197,S=C(\N=C/1\c2c(N(C)C\1=O)cccc2)NCc1cc2c(cc1O)cccc2,145957046,0.022299999
198,OC(=O)[C@@H](NC(=O)[C@@H](N[C@H](C(O)=O)C)C(C)C)Cc1ccc(cc1)-c1ccccc1,44324830,0.023
199,SC[C@H](C(=O)N1CCCC1C(O)=O)C,448982,0.023
200,Oc1cc(ccc1O)C[C@H](NC(=O)N(CC(C)C)C[C@H](O)C(O)=O)C(O)=O,44454674,0.023
201,S[C@H](C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C,44295941,0.024
202,O(C(CCc1ccccc1)C(OCC)=O)C(C(=O)N1C2C(CC1C(O)=O)CCCC2)C,44459897,0.024
203,S=C(\N=C/1\c2c(N(C(=O)c3ccc(cc3)C)C\1=O)cccc2)NCc1cc2c(cc1O)cccc2,145953329,0.024219999
204,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,10071569,0.025
205,S[C@@H](Cc1ccccc1)C(=O)NC1CCCc2c(N(CC(O)=O)C1=O)cccc2,15838530,0.025
206,P(O)(=O)(NC(C(=O)N1CCCC1C(O)=O)C)CCc1ccccc1,14212863,0.025119999
207,S[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c2c(ccc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376860,0.027000001
208,OC(=O)[C@H](NC(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)Cc1ccccc1,44385438,0.028000001
209,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1COc2c(N(CC(O)=O)C1=O)cccc2,15380821,0.028000001
210,O(CCCC)C(=O)NC(Cc1ccccc1)C(=O)CC(C(=O)N1CCCC1C(O)=O)C,12854269,0.028999999
211,P(O)(O)(=O)CN(CC(C)C)C(=O)N[C@@H](Cc1cc2c(cc1)cccc2)C(O)=O,44454833,0.028999999
212,S[C@@H](C(C)C)C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,22874526,0.029999999
213,S[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,9998020,0.029999999
214,P(O)(O)(=O)C(N[C@H](C(=O)N1[C@@H]2[C@H](C[C@H]1C(O)=O)CCCC2)C)CCC,72697596,0.029999999
215,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1COc2c(N(CCC(O)=O)C1=O)cccc2,44296037,0.030999999
216,SCC(C(=O)N1C(CCC1=O)C(O)=O)C,23330158,0.03162
217,OC=1C=C(CCC(O)=O)C(=O)N2C=1CCC2C(O)=O,137365,0.03162
218,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1Cc2c(CN(CC(O)=O)C1=O)cccc2,15838528,0.033
219,S(Cc1ccccc1)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,10448308,0.034000002
220,OC(=O)[C@@H](NC(=O)N(CC(C)C)C[C@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,9932329,0.035
221,SC[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CCC(O)=O)C1=O)cccc2,44295891,0.035999998
222,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CCC(O)=O)C1=O)cccc2,44295892,0.035999998
223,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@@H](Oc2c(N(CC(O)=O)C1=O)cccc2)C,44295893,0.035999998
224,P(O[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(O)=O)(O)(=O)CCCCc1ccccc1,189729,0.036309998
225,O=C1c2cc(ccc2-c2c1cccc2)CN(C[C@H](O)C(O)=O)C(=O)N[C@@H](Cc1cc2c(cc1)cccc2)C(O)=O,44454596,0.039000001
226,P(OC(C(=O)N1CCCC1C(O)=O)C)(O)(=O)C(NC(=O)c1ccccc1)CCc1ccccc1,13335293,0.039810002
227,OC(=O)C(N[C@H](C(=O)N(CC(O)=O)C1Cc2c(C1)cccc2)C)CCc1ccccc1,13135337,0.039810002
228,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,9822830,0.039999999
229,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(CNC(=O)c1ccccc1)C(O)=O)C,71449055,0.039999999
230,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCN)C(OCC)=O)cccc2)CC(O)=O,13500748,0.039999999
231,O=C1c2c(ccc(c2)CN(C[C@H](O)C(O)=O)C(=O)N[C@@H](Cc2cc3c(cc2)cccc3)C(O)=O)C(=O)c2c1cccc2,44454536,0.039999999
232,P(O)(O)(=O)C(N[C@H](C(=O)N1[C@@H]2[C@H](C[C@H]1C(O)=O)CCCC2)C)CCc1ccccc1,72697595,0.039999999
233,P(OCc1ccccc1)(O)(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,44280449,0.040739998
234,S[C@@H]([C@@H](CC)C)C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,22874530,0.041000001
235,OC(=O)[C@@H]1N(CCC1)C(=O)CCCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44387004,0.041999999
236,OC(=O)[C@H]1N(CCC1)C(=O)CCCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44384800,0.041999999
237,SCC(Cc1ccccc1)C(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O,44323117,0.041999999
238,SCC(NC(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O)Cc1ccccc1,44323100,0.043000001
239,SC[C@H](C(=O)N1C[Si](C[C@H]1C(O)=O)(C)C)C,145984090,0.043000001
240,P(O)(O)(=O)[C@@H](N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C,44325207,0.044
241,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1Cc2c(cccc2)[C@H]1C(O)=O)C)CCc1ccccc1,54468999,0.044
242,O=C1N(c2c(CC[C@@H]1N[C@@H](CC(C)C)C(O)=O)cccc2)CC(O)=O,13500790,0.045000002
243,OC(=O)[C@H]1N(CCC1)C(=O)[C@H](CC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C,44328851,0.046
244,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1C)Cc1ccccc1,44384569,0.046
245,OC(=O)C1N(CCC1)C(=O)CCC(=O)[C@@H](NC(=O)CCCCC)Cc1ccccc1,44459887,0.046999998
246,SC1CCC1C(=O)N1CCC[C@H]1C(O)=O,22823240,0.048980001
247,P(O)(O)(=O)CN[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44324877,0.050000001
248,O=C1N[C@@H](CC1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,10393285,0.050000001
249,SC(Cc1ccccc1)C(=O)N[C@@H](C(=O)N1CCC[C@H]1C(O)=O)C,44317145,0.05012
250,Fc1cc(F)c(F)cc1C[C@@H](N)CC(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCC)C(O)=O,53354365,0.050999999
251,P(O)(O)(=O)C(N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C)CCc1ccccc1,44316850,0.051290002
252,OC(=O)[C@@H](NC(=O)N(CC(C)C)C[C@H](O)C(O)=O)Cc1cc2c(cc1)cccc2,9844054,0.052000001
253,SCC1CCCCC(C(C(O)=O)C)C1=O,44317122,0.052480001
254,P(O)(O)(=O)CN[C@@H](Cc1cc2c(cc1)cccc2)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325166,0.052999999
255,O=C1N2N(CC[C@@H]1NC(CCc1ccccc1)C(O)=O)CCC[C@H]2C(O)=O,44317140,0.056230001
256,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N1CCC[C@H]1C(O)=O,10458734,0.057
257,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCNN(CC(O)=O)C1=O,44305140,0.059999999
258,Oc1ccc(cc1)C[C@H](NC(=O)N(CC(C)C)C[C@H](O)C(O)=O)C(O)=O,44454700,0.059999999
259,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,44364646,0.061999999
260,S[C@@H](Cc1ccccc1)C(=O)N[C@@H]1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,71456155,0.061999999
261,S(C(=O)c1ccccc1)C1CCCC1C(=O)N1CCCC1C(O)=O,20430909,0.063100003
262,SCC(N)C(=O)N1CCC[C@H]1C(O)=O,44317221,0.063100003
263,SC1CCCC1C(=O)N1CCC[C@H]1C(O)=O,44317202,0.064570002
264,OC(=O)CNC([C@H](CC)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325102,0.064999998
265,OC(=O)[C@H]1N(CCC1)C(=O)CNCC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1,44328238,0.07
266,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,12854254,0.07
267,SC[C@@H]1CC(=O)N2N([C@@H](CCC2)C(O)=O)C1=O,44317350,0.07079
268,[Si](O)(O)([C@H](NC(=O)c1ccccc1)Cc1ccccc1)C[C@@H](C(=O)N1CCC[C@H]1C(O)=O)C,11442784,0.071999997
269,P(O)(=O)(C(NC(=O)c1ccccc1)CCc1ccccc1)CC(=O)N1CCC[C@H]1C(O)=O,13104362,0.072439998
270,P(O)(O)(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C)[C@H](CC)C)CC(C)C)Cc1ccc(O)cc1,90655798,0.075999998
271,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44377126,0.079999998
272,O(C(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)C,44386281,0.082000002
273,O(Cc1ccccc1)c1ccc(cc1)CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(OCc1ccccc1)=O,12854279,0.086000003
274,O(C(CCc1ccccc1)C(O)=O)C(C(=O)N1Cc2c(CC1C(O)=O)cccc2)C,44459614,0.086000003
275,SCC(Cc1ccccc1)C(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O,9822849,0.086999997
276,S[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,22874524,0.089000002
277,OC(=O)[C@H]1N(CCC1)C(=O)[C@H](NC(C(O)=O)C)C,44368523,0.090000004
278,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(OC(C)C)cc1)C(O)=O,10432045,0.092
279,O=C1N(CCCCC[C@H]1N[C@H](CCc1ccccc1)C(O)=O)CC(O)=O,118718824,0.092
280,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@H](C(O)=O)CO,44376665,0.1
281,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](CCc1ccccc1)C(O)=O,44325055,0.1
282,S[C@H](C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O)C1CCCCC1,22874522,0.1
283,SCC[C@@]1(C)C(=O)N2N(CC=C[C@H]2C(O)=O)C1=O,44316799,0.1
284,OC(=O)[C@H]1N([C@@H]2[C@H](C1)CCCC2)C(=O)CC[C@@H](NC(=O)C(N)Cc1ccccc1)C(O)=O,44316996,0.1
285,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1C2C(C[C@H]1C(O)=O)CCCC2)C)CCc1ccccc1,13069290,0.1
286,S(Cc1ccc(F)cc1)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581551,0.1
287,S(Cc1ccc(OC)cc1)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581623,0.1
288,OC(=O)[C@@H](NC(=O)N(CC(C)C)C[C@H](O)C(O)=O)Cc1c2c([nH]c1)cccc2,44454780,0.103
289,O(C(CCc1ccccc1)C(O)=O)C(C(=O)N1CCCC1C(O)=O)C,44459545,0.11
290,OC(=O)[C@@H](NC(=O)N(CC(C)C)C[C@H](O)C(O)=O)Cc1c2c(ccc1)cccc2,44454730,0.11
291,S=C(\N=C/1\c2c(N(CC(=O)C)C\1=O)cccc2)NCc1cc2c(cc1O)cccc2,145958358,0.112
292,P(O)(O)(=O)CN[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325092,0.117
293,SC[C@@H]1Cc2cc(CCCCCC[C@H](NC1=O)C(O)=O)ccc2,10759255,0.118
294,P(O)(O)(=O)CN[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)C1CCCCC1)C(O)=O,44325087,0.122
295,SC1CCCC1C(=O)N1CCCC1C(O)=O,20430913,0.12589
296,SCC1CC(=O)N2N(C1=O)C(CCC2)C(O)=O,13144539,0.12589
297,S(C(=O)C)CC(C(=O)N1Cc2c(CC1C(O)=O)cccc2)C,12883918,0.13
298,S(Cc1ccc(cc1)C(C)(C)C)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581587,0.13
299,P(O)(O)(=O)CN[C@@H]([C@H](C)c1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325222,0.138
300,SC[C@@H](Cc1ccccc1)C(=O)NCC(O)=O,4369380,0.14
301,S(C(CCc1ccccc1)C(O)=O)C(C(=O)N1C2C(C[C@H]1C(O)=O)CCCC2)C,57394944,0.14
302,SCC(Cc1ccccc1)C(=O)NCC(O)=O,3132,0.14
303,P(O)(O)(=O)CN[C@@H](Cc1cc2OCOc2cc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325081,0.147
304,SCC(NC(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O)Cc1ccccc1,44323191,0.147
305,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)N)c1ccccc1,44386286,0.15000001
306,OC(=O)[C@@H](NC(=O)N(Cc1cc2Cc3c(-c2cc1)cccc3)C[C@H](O)C(O)=O)Cc1cc2c(cc1)cccc2,44454905,0.15000001
307,Fc1cc(F)c(F)cc1C[C@@H](N)CC(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O,53353383,0.15800001
308,SC1CCC1C(=O)N1CCCC1C(O)=O,20430901,0.15849
309,P(O)(O)(=O)CN[C@@H](Cc1ccccc1OC)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325232,0.16
310,SC(CC(=O)NC(Cc1ccc(O)cc1)C(O)=O)C(F)(F)F,45267767,0.16
311,S[C@H](C(=O)NC1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O)C,44329454,0.16500001
312,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@@H](C(C)C)C(O)=O,44376661,0.175
